# dead/faint floor (best_ev==0, near-zero ink) — optical track, not geometry
# CASE PAGE  # mean=.. ink=..
MIB-000737 2  # mean=218.3 ink=0.0057
MIB-000971 1  # mean=220.6 ink=0.0052
MIB-000731 0  # mean=222.1 ink=0.0005
MIB-000226 3  # mean=222.9 ink=0.0001
MIB-000914 0  # mean=223.0 ink=0.0069
MIB-000158 2  # mean=223.6 ink=0.0078
MIB-000342 0  # mean=223.6 ink=0.0027
MIB-000315 0  # mean=223.7 ink=0.0077
MIB-000829 4  # mean=225.5 ink=0.0043
MIB-000742 4  # mean=225.6 ink=0.0033
MIB-000308 2  # mean=226.6 ink=0.0073
MIB-000948 0  # mean=227.2 ink=0.0057
MIB-000250 1  # mean=227.7 ink=0.002
MIB-000058 4  # mean=228.3 ink=0.0043
MIB-000294 3  # mean=229.2 ink=0.0093
MIB-000598 3  # mean=229.2 ink=0.0048
MIB-000067 5  # mean=230.0 ink=0.0052
MIB-000276 0  # mean=230.1 ink=0.0066
MIB-000340 4  # mean=231.2 ink=0.0088
MIB-000362 3  # mean=231.3 ink=0.0005
MIB-000733 4  # mean=231.4 ink=0.0006
MIB-000453 1  # mean=232.0 ink=0.0042
MIB-000124 2  # mean=232.3 ink=0.0044
MIB-000680 2  # mean=232.6 ink=0.0056
MIB-000991 2  # mean=232.7 ink=0.0032
MIB-000724 1  # mean=234.2 ink=0.0013
MIB-000303 0  # mean=234.8 ink=0.0052
MIB-000346 1  # mean=235.0 ink=0.0097
MIB-000346 5  # mean=235.1 ink=0.0201
MIB-000225 2  # mean=236.0 ink=0.006
MIB-000442 1  # mean=236.5 ink=0.0009
MIB-000337 1  # mean=236.7 ink=0.0276
MIB-000825 0  # mean=237.2 ink=0.0021
MIB-000042 3  # mean=237.3 ink=0.0169
MIB-000615 3  # mean=237.4 ink=0.0025
MIB-000083 2  # mean=237.7 ink=0.0248
MIB-000589 0  # mean=238.4 ink=0.0047
MIB-000047 2  # mean=238.7 ink=0.0025
MIB-000664 5  # mean=238.7 ink=0.0237
MIB-000056 3  # mean=239.6 ink=0.0024
MIB-000499 1  # mean=240.2 ink=0.0047
MIB-000987 1  # mean=240.3 ink=0.0282
MIB-000104 2  # mean=240.4 ink=0.0054
MIB-000239 0  # mean=240.4 ink=0.0285
MIB-000437 3  # mean=240.5 ink=0.0273
MIB-000750 1  # mean=240.6 ink=0.0326
MIB-000570 0  # mean=240.7 ink=0.035
MIB-000028 1  # mean=240.8 ink=0.0314
MIB-000302 3  # mean=240.8 ink=0.0024
MIB-000995 4  # mean=240.8 ink=0.0285
MIB-000824 3  # mean=240.9 ink=0.0354
MIB-000667 0  # mean=241.0 ink=0.0243
MIB-000833 1  # mean=241.2 ink=0.0344
MIB-000300 3  # mean=241.4 ink=0.039
MIB-000019 2  # mean=241.7 ink=0.0282
MIB-000309 0  # mean=241.7 ink=0.0398
MIB-000657 1  # mean=241.7 ink=0.0268
MIB-000126 2  # mean=241.8 ink=0.018
MIB-000074 2  # mean=242.0 ink=0.033
MIB-000323 0  # mean=242.0 ink=0.0389
MIB-000290 2  # mean=242.1 ink=0.0022
MIB-000485 0  # mean=242.1 ink=0.0358
MIB-000695 2  # mean=242.1 ink=0.0249
MIB-000011 4  # mean=242.3 ink=0.0324
MIB-000222 3  # mean=242.3 ink=0.0202
MIB-000866 1  # mean=242.3 ink=0.0223
MIB-000156 2  # mean=242.4 ink=0.0303
MIB-000305 4  # mean=242.4 ink=0.0299
