# hard-but-recoverable scan pages, mined corpus-wide by mine_hard.py
# CASE PAGE  # class base->best (headroom N) [HAZARD]
MIB-000853 0  # turned 0->14 (headroom 14)
MIB-000089 1  # turned 0->13 (headroom 13)
MIB-000288 0  # turned 0->13 (headroom 13)
MIB-000505 2  # turned 0->13 (headroom 13)
MIB-000607 1  # turned 0->13 (headroom 13)
MIB-000688 4  # turned 0->13 (headroom 13)
MIB-000943 2  # turned 0->13 (headroom 13)
MIB-000386 2  # turned 0->12 (headroom 12)
MIB-000501 1  # turned 0->12 (headroom 12)
MIB-000525 4  # turned 0->12 (headroom 12)
MIB-000745 0  # turned 0->12 (headroom 12)
MIB-000760 1  # turned 0->12 (headroom 12)
MIB-000905 2  # turned 0->12 (headroom 12)
MIB-000065 1  # turned 0->11 (headroom 11)
MIB-000130 0  # turned 0->11 (headroom 11)
MIB-000131 0  # turned 0->11 (headroom 11)
MIB-000270 3  # turned 0->11 (headroom 11)
MIB-000409 0  # turned 0->11 (headroom 11)
MIB-000435 2  # turned 0->11 (headroom 11)
MIB-000754 2  # turned 0->11 (headroom 11)
MIB-000037 0  # turned 0->9 (headroom 9) HAZARD
MIB-000628 2  # shred 0->7 (headroom 7)
MIB-000477 3  # shred 0->5 (headroom 5)
MIB-000063 2  # shred 0->3 (headroom 3)
MIB-000285 2  # shred 0->3 (headroom 3)
MIB-000345 5  # shred 0->3 (headroom 3)
MIB-000118 2  # shred 0->2 (headroom 2)
MIB-000125 4  # shred 0->2 (headroom 2)
MIB-000566 5  # shred 0->2 (headroom 2)
MIB-000003 2  # shred 0->1 (headroom 1)
MIB-000023 1  # shred 0->1 (headroom 1)
MIB-000097 2  # shred 0->1 (headroom 1)
MIB-000189 4  # shred 0->1 (headroom 1)
MIB-000283 3  # shred 0->1 (headroom 1)
MIB-000315 2  # shred 0->1 (headroom 1)
MIB-000325 1  # shred 0->1 (headroom 1)
MIB-000873 5  # shred 0->1 (headroom 1)
MIB-000900 2  # shred 0->1 (headroom 1)
MIB-000918 5  # shred 0->1 (headroom 1)
MIB-000965 0  # shred 0->1 (headroom 1)
MIB-000069 5  # shred 0->0 (headroom 0)
MIB-000875 2  # skew+shred 0->9 (headroom 9)
MIB-000596 3  # skew+shred 0->7 (headroom 7)
MIB-000365 1  # skew+shred 0->6 (headroom 6)
MIB-000653 3  # skew+shred 0->6 (headroom 6)
MIB-000989 2  # skew+shred 0->6 (headroom 6)
MIB-000119 2  # skew+shred 0->5 (headroom 5)
MIB-000807 2  # skew+shred 0->5 (headroom 5)
MIB-000890 4  # skew+shred 0->5 (headroom 5)
MIB-000404 2  # skew+shred 0->4 (headroom 4)
MIB-000591 1  # skew+shred 0->4 (headroom 4)
MIB-000731 4  # skew+shred 0->4 (headroom 4)
MIB-000794 1  # skew+shred 0->4 (headroom 4)
MIB-000990 0  # skew+shred 0->4 (headroom 4)
MIB-000215 2  # skew+shred 0->3 (headroom 3)
MIB-000216 1  # skew+shred 0->3 (headroom 3)
MIB-000244 1  # skew+shred 0->3 (headroom 3)
MIB-000258 0  # skew+shred 0->3 (headroom 3)
MIB-000316 3  # skew+shred 0->3 (headroom 3)
MIB-000348 3  # skew+shred 0->3 (headroom 3)
MIB-000165 1  # skew+shred 3->6 (headroom 3) HAZARD
MIB-000237 1  # skew+shred 5->12 (headroom 7) HAZARD
MIB-000347 1  # skew 0->10 (headroom 10)
MIB-000296 2  # skew 0->3 (headroom 3)
MIB-000723 5  # skew 0->2 (headroom 2)
MIB-000726 4  # skew 0->1 (headroom 1)
MIB-000243 1  # skew 1->2 (headroom 1)
MIB-000417 0  # skew 1->1 (headroom 0)
MIB-000952 2  # skew 1->1 (headroom 0)
MIB-000487 3  # skew 2->2 (headroom 0)
MIB-000574 1  # skew 2->2 (headroom 0)
MIB-000752 4  # skew 2->2 (headroom 0)
MIB-000971 2  # skew 2->2 (headroom 0)
MIB-000071 0  # skew 3->4 (headroom 1)
MIB-000820 1  # skew 3->4 (headroom 1)
MIB-000827 2  # skew 3->4 (headroom 1)
MIB-000646 0  # skew 3->3 (headroom 0)
MIB-000872 1  # skew 3->3 (headroom 0)
MIB-000012 2  # skew 5->6 (headroom 1)
MIB-000188 2  # skew 5->6 (headroom 1)
MIB-000604 0  # skew 5->6 (headroom 1)
MIB-000297 3  # unclassified 0->3 (headroom 3)
MIB-000684 0  # unclassified 0->3 (headroom 3)
MIB-000259 3  # unclassified 0->0 (headroom 0)
MIB-000598 4  # unclassified 0->0 (headroom 0)
MIB-000047 3  # unclassified 1->1 (headroom 0)
MIB-000058 1  # unclassified 1->1 (headroom 0)
MIB-000071 2  # unclassified 1->1 (headroom 0)
MIB-000077 3  # unclassified 1->1 (headroom 0)
MIB-000089 4  # unclassified 1->1 (headroom 0)
MIB-000132 4  # unclassified 1->1 (headroom 0)
MIB-000138 4  # unclassified 1->1 (headroom 0)
MIB-000226 1  # unclassified 1->1 (headroom 0)
MIB-000288 1  # unclassified 1->1 (headroom 0)
MIB-000298 0  # unclassified 1->1 (headroom 0)
MIB-000338 1  # unclassified 1->1 (headroom 0)
MIB-000404 0  # unclassified 1->1 (headroom 0)
MIB-000437 1  # unclassified 1->1 (headroom 0)
MIB-000653 2  # unclassified 1->1 (headroom 0)
MIB-000853 2  # unclassified 1->1 (headroom 0)
